lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
"Medan Johor, Medan",20.29248292239242,Rumah,3.0,2.0,1.0,4.51085950651685,4.912654885736052
"Medan Selayang, Medan",20.125428838008972,Rumah,2.0,1.0,1.0,4.59511985013459,4.02535169073515
"Medan Helvetia, Medan",20.349299397351107,Rumah,3.0,3.0,1.0,4.653960350157523,4.51085950651685
"Medan Johor, Medan",20.253262209300676,Rumah,3.0,2.0,1.0,4.634728988229636,4.394449154672439
"Medan Sunggal, Medan",21.05973807428191,Rumah,4.0,4.0,2.0,5.0106352940962555,5.081404364984463
"Medan Johor, Medan",20.61568062738006,Rumah,3.0,3.0,1.0,4.51085950651685,4.7535901911063645
"Medan Helvetia, Medan",20.125428838008972,Rumah,2.0,1.0,1.0,4.290459441148391,4.110873864173311
"Medan Selayang, Medan",20.304715490809347,Rumah,3.0,2.0,1.0,4.574710978503383,4.51085950651685
"Medan Johor, Medan",19.79439632539704,Rumah,2.0,1.0,1.0,4.634728988229636,3.9318256327243257
"Medan Timur, Medan",22.15835036247383,Ruko,0.0,6.0,0.0,5.262690188904886,6.1070228877422545
"Medan Johor, Medan",20.29248292239242,Rumah,3.0,2.0,1.0,4.51085950651685,4.912654885736052
"Medan Selayang, Medan",20.125428838008972,Rumah,2.0,1.0,1.0,4.59511985013459,4.02535169073515
"Medan Helvetia, Medan",20.349299397351107,Rumah,3.0,3.0,1.0,4.653960350157523,4.51085950651685
"Medan Johor, Medan",20.253262209300676,Rumah,3.0,2.0,1.0,4.634728988229636,4.394449154672439
"Medan Sunggal, Medan",21.05973807428191,Rumah,4.0,4.0,2.0,5.0106352940962555,5.081404364984463
"Medan Johor, Medan",20.61568062738006,Rumah,3.0,3.0,1.0,4.51085950651685,4.7535901911063645
"Medan Helvetia, Medan",20.125428838008972,Rumah,2.0,1.0,1.0,4.290459441148391,4.110873864173311
"Medan Selayang, Medan",20.304715490809347,Rumah,3.0,2.0,1.0,4.574710978503383,4.51085950651685
"Medan Johor, Medan",19.79439632539704,Rumah,2.0,1.0,1.0,4.634728988229636,3.9318256327243257
"Medan Timur, Medan",22.15835036247383,Ruko,0.0,6.0,0.0,5.262690188904886,6.1070228877422545
"Medan Barat, Medan",21.282881625453264,Apartemen,2.0,2.0,0.0,4.61512051684126,4.61512051684126
"Medan Barat, Medan",22.045021677195397,Apartemen,2.0,2.0,0.0,4.624972813284271,4.624972813284271
"Medan Sunggal, Medan",21.59873457471698,Rumah,4.0,3.0,1.0,4.290459441148391,5.111987788356544
"Medan Tembung, Medan",20.349299397351107,Rumah,3.0,2.0,0.0,4.110873864173311,4.875197323201151
"Medan Deli, Medan",21.282881625453264,Apartemen,2.0,1.0,0.0,4.0943445622221,4.0943445622221
"Medan Helvetia, Medan",20.00991595110976,Rumah,2.0,2.0,1.0,4.61512051684126,4.110873864173311
"Medan Johor, Medan",19.79439632539704,Rumah,2.0,1.0,1.0,4.634728988229636,3.9318256327243257
"Medan Selayang, Medan",20.169880600500754,Rumah,3.0,1.0,1.0,4.859812404361672,4.2626798770413155
"Medan Timur, Medan",20.570114658617737,Rumah,3.0,3.0,1.0,4.110873864173311,4.61512051684126
"Medan Baru, Medan",20.671972543611492,Rumah,3.0,2.0,1.0,4.290459441148391,4.61512051684126
"Medan Barat, Medan",20.697948029987764,Apartemen,1.0,1.0,0.0,3.7612001156935624,3.7612001156935624
"Medan Perjuangan, Medan",21.917188305721876,Ruko,0.0,2.0,0.0,5.8888779583328805,5.638354669333745
"Medan Kota, Medan",21.511723197765228,Ruko,0.0,2.0,0.0,5.081404364984463,5.720311776607412
