nama,lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
Ready Villa Mewah Dan Luas Komplek The Palace Residence,"Medan Polonia, Medan","Rp 16,5 Miliar",Rumah,4,4,1,390 m²,630 m²
Perumahan Mewah Dengan Fasilitas Bintang 5 Johor Summerville,"Johor, Medan",Rp 998 Juta,Rumah,2,2,1,78 m²,156 m²
Dijual Rumah Murah Sangat Bagus Dan Dapat Dua di Medan Labuhan,"Medan Labuhan, Medan",Rp 430 Juta,Rumah,4,2,2,315 m²,234 m²
Rumah Hunian 2 Tingkat Dalam Komplek Marendal,"Mariendal, Medan",Rp 787 Juta,Rumah,4,2,1,96 m²,144 m²
Rumah Classic Siap Huni Di Stm Rumah,"Medan Johor, Medan","Rp 1,32 Miliar",Rumah,3,3,1,117 m²,150 m²
Dijual Rumah Tasbih 1 Full Furnished Rumah,"Medan Sunggal, Medan","Rp 4,2 Miliar",Rumah,5,4,2,360 m²,160 m²
Rumah 3 Lantai Komplek Tasbih 2,"Medan Sunggal, Medan","Rp 2,2 Miliar",Rumah,4,5,2,180 m²,235 m²
Dijual Kost 14 Kamar Medan Johor SHM,"Medan Johor, Medan","Rp 1,8 Miliar",Rumah,14,9,3,289 m²,332 m²
Rumah Ready Medan Johor Rumah Bagus,"Medan Johor, Medan",Rp 888 Juta,Rumah,3,2,1,84 m²,100 m²
Dijual Rumah Komplek Tasbih 1,"Medan Sunggal, Medan","Rp 1,4 Miliar",Rumah,3,2,1,128 m²,150 m²
Rumah Mewah The Harmoni Java Medan Johor,"Medan Johor, Medan",Rp 248 Juta,Rumah,2,1,,72 m²,40 m²
Rumah Keren Depan Kodam Gatsu Medan Sunggal,"Medan Sunggal, Medan",Rp 700 Juta,Rumah,3,3,1,72 m²,96 m²
Rumah Cantik Siap Huni Daerah Medan Johor,"Medan Johor, Medan",Rp 260 Juta,Rumah,2,1,1,72 m²,45 m²
Rumah Keren Jadiraya Permai Medan Sunggal,"Medan Sunggal, Medan",Rp 378 Juta,Rumah,3,2,1,72 m²,80 m²
