nama,lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
Rumah luas 1 tingkat lokasi jalan kompos medan sunggal,"Medan Sunggal, Medan","Rp 2,4 Miliar",Rumah,4,3,,588 m²,100 m²
Jual Rumah / Villa Komplek Mentari Winfield Jalan Pelita 1 - Sutomo Ujung - Rakyat - Thamrin - Medan,"Medan Perjuangan, Medan",Rp 895 Juta,Rumah,1,1,,66 m²,125 m²
Ruko Cbd Full Furnished Gandeng,"Medan Polonia, Medan",Rp 4 Miliar Total,Ruko,,3,,128 m²,448 m²
Dijual Townhouse Komplek Setia Nauli Harga Sangat Terjangkau,"Medan Sunggal, Medan",Rp 750 Juta,Rumah,2,2,,68 m²,170 m²
Komplek Krakatau Garden,"Medan Timur, Medan",Rp 650 Juta,Rumah,4,2,,56 m²,118 m²
Promo Dp 50 Jt 300 Mtr Dr Mercy Johor,"Medan Johor, Medan",Rp 285 Juta,Rumah,2,1,1,98 m²,50 m²
Dijual Ruko Jl Kotacane Lokasi Strategis Cocok Untuk Usaha,"Medan Kota, Medan",Rp 5 Miliar Total,Ruko,,5,,108 m²,336 m²
Dekat Manhattan Ringroad,"Medan Sunggal, Medan",Rp 525 Juta,Rumah,2,1,1,102 m²,50 m²
Rumah Komplek Murah Lokasi Setiabudi Rumah,"Medan Selayang, Medan",Rp 348 Juta,Rumah,2,,1,72 m²,45 m²
Komplek Terbesar Di Setiabudi Medan 2 Lantai Hny 6xx Jt An,"Medan Selayang, Medan",Rp 658 Juta,Rumah,2,3,1,144 m²,90 m²
Rumah Baru Siap Huni Hanya 10 Menit Ke Kampus Usu,"Medan Selayang, Medan",Rp 758 Juta,Rumah,3,3,2,140 m²,100 m²
"RUMAH READY DEKAT KAMPUS USU MEDAN SELAYANG di jln setia budi, Medan Selayang","Medan Selayang, Medan",Rp 875 Juta,Rumah,3,3,1,90 m²,69 m²
"Djual Rumah Mewah Luas Lokasi Strategis Jln Stm di jln stm, Medan Johor","Medan Johor, Medan","Rp 1,49 Miliar",Rumah,4,4,1,162 m²,175 m²
Rumah Classic Modern Uk 7.4x30 Gaperta Rumah,"Medan Helvetia, Medan",Rp 25 Miliar,Rumah,4,3,1,222 m²,210 m²
Rumah Cantik Ready Medan Johor,"Medan Johor, Medan",Rp 575 Juta,Rumah,2,1,1,99 m²,50 m²
Ruko Gandeng Inti Kota Medan,"Medan Kota, Medan","Rp 8,5 Miliar Total",Ruko,,,,243 m²,153 m²
RUKO MESJID TAUFIK MEDAN PERJUANGAN,"Medan Perjuangan, Medan",Rp 950 Juta Total,Ruko,,,,104 m²,200 m²
Ruko Martubung Jalan Rawe Raya Komplek Medan Utara City Siap Huni,"Medan Labuhan, Medan",Rp 499 Juta Total,Ruko,,1,,60 m²,60 m²
Ruko Siap Pakai Medan Utara City Daerah Martubung Jalan Rawe Raya,"Medan Labuhan, Medan",Rp 499 Juta Total,Ruko,,1,,60 m²,60 m²
"Ruko Gandeng Jl.Sentosa Baru, Serdang. 15 Kamar Kost. Warkop Aceh","Medan Perjuangan, Medan","Rp 3,2 Miliar Total",Ruko,,6,,192 m²,360 m²
Rumah 2 Lantai Komplek Habitat Daerah Ringroad,"Medan Sunggal, Medan","Rp 1,3 Miliar",Rumah,3,3,2,96 m²,120 m²
Rumah Baru Jalan Suluh Komplek Orchid Garden Sekitar Cemara Asri,"Medan Tembung, Medan",Rp 810 Juta,Rumah,3,3,1,44 m²,132 m²
Rumah Orchid Garden Tipe Blossom Jalan Suluh Daerah Pancing,"Medan Tembung, Medan",Rp 810 Juta,Rumah,3,3,1,44 m²,132 m²
Ruko 3 Lantai Komplek Orchid Garden Jalan Suluh Daerah Pancing,"Medan Tembung, Medan","Rp 1,1 Miliar Total",Ruko,,1,,56 m²,168 m²
Ruko Baru Daerah Krakatau Jalan Suluh Komplek Orchid Garden,"Medan Tembung, Medan","Rp 1,1 Miliar Total",Ruko,,1,,56 m²,168 m²
Ruko di jalan cempaka,"Medan Helvetia, Medan","Rp 1,6 Miliar Total",Ruko,,3,,100 m²,100 m²
Jual Rumah Siap Huni Komplek Union Mentari Sadananda Jalan Bersama - Letda Sujono - Aksara - Mandala - Medan,"Medan Tembung, Medan",Rp 675 Juta,Rumah,2,2,,50 m²,95 m²
Rumah Imperial Mansion Daerah Ringroad Jalan Pasar 3 Tapian Nauli,"Medan Sunggal, Medan","Rp 1,8 Miliar",Rumah,1,1,1,132 m²,142 m²
Rumah Komplek Imperial Mansion Jalan Pasar 3 Tapian Nauli Sunggal,"Medan Sunggal, Medan","Rp 1,8 Miliar",Rumah,1,1,1,132 m²,142 m²
"Rumah Dalam Komplek Full Furnish Di Flamboyan di Jl. Flamboyan Raya, Tj. Selamat, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara, Medan Tuntungan","Medan Tuntungan, Medan",Rp 17 Miliar,Rumah,3,3,2,180 m²,110 m²
Ruko Gandeng Jl.Sentosa Baru Daerah Jl.Serdang-Siap Buka Usaha,"Medan Perjuangan, Medan","Rp 3,2 Miliar",Rumah,16,6,1,192 m²,360 m²
Rumah Luas Hook Jl. Bukit Barisan. Daerah Krakatau & Pancing,"Medan Timur, Medan","Rp 3,5 Miliar",Rumah,4,4,1,408 m²,300 m²
"Rumah Hook.Luas Tanah 408 M-Jl.Bukit Barisan-Krakatau ,Siap Huni","Medan Timur, Medan","Rp 3,5 Miliar",Rumah,4,4,1,408 m²,300 m²
Ruko 15 kamar ready di Jln. Mandala,"Medan Denai, Medan","Rp 2,5 Miliar Total",Ruko,,15,,140 m²,420 m²
Green Park 2 Tingkat Fully Furnished  STM Ujung Titi Kuning,"Medan Amplas, Medan","Rp 1,35 Miliar",Rumah,3,2,,90 m²,120 m²
Rumah Strategis Jln. Parapat Medan Perjuangan,"Medan Perjuangan, Medan","Rp 1,8 Miliar",Rumah,4,2,1,125 m²,128 m²
Town House Baru- Inti Kota Komplek Sekip Luxe (Sekip -Adam Malik),"Medan Baru, Medan",Rp 700 Juta,Rumah,2,2,,40 m²,80 m²
"Sekip Luxe. Townhouse Baru. Daerah Sekip, Adam Malik. Inti Kota.","Medan Baru, Medan",Rp 700 Juta,Rumah,1,1,,40 m²,80 m²
"Rumah Type Besar Harga Promo Cash 558 Juta Simpang Selayang di simpang selayang, Medan Selayang","Medan Selayang, Medan",Rp 558 Juta,Rumah,3,2,1,102 m²,70 m²
"Rumah Ready 200 Jutaan Medan Tembung di Jl. Gambir Ps. VIII, Hutan, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara, Medan Tembung","Medan Tembung, Medan",Rp 280 Juta,Rumah,2,1,1,72 m²,45 m²
Rumah siap huni Jl.Kalpataru Helvetia Timur,"Medan Helvetia, Medan",Rp 565 Juta,Rumah,2,1,1,72 m²,46 m²
Rumah komplek daerah Ringroad jl.Pasar 1 Asam Kumbang,"Medan Selayang, Medan",Rp 975 Juta,Rumah,3,3,,94 m²,95 m²
Rumah full furnished Jl.Flamboyan Raya,"Medan Sunggal, Medan","Rp 1,9 Miliar",Rumah,3,3,,180 m²,110 m²
Rumah cantik siap huni Graha Indah Jaya,"Medan Johor, Medan",Rp 325 Juta,Rumah,2,1,,84 m²,36 m²
"Rumah Siap Huni Dalam Komplek Medan Tembung di tembung, Medan Tembung","Medan Tembung, Medan",Rp 485 Juta,Rumah,3,2,1,113 m²,80 m²
Jual Rumah Di Medan Baru Tepatnya Di Jalan Kangkung,"Medan Baru, Medan","Rp 1,7 Miliar Total",Ruko,,3,,84 m²,192 m²
Dijual Rumah Strategis di Komplek The Suites 1 – Harga Nego!,"Medan Helvetia, Medan",Rp 600 Juta,Rumah,3,2,1,68 m²,130 m²
Rumah Siapa Huni Non Komplek Medan Johor,"Medan Johor, Medan",Rp 510 Juta,Rumah,3,2,1,112 m²,96 m²
"Rumah Type Mezanine Promo Cash 380 Juta Gatot Subroto di jln gatot subroto, Medan Helvetia","Medan Helvetia, Medan",Rp 380 Juta,Rumah,3,1,1,55 m²,57 m²
"Dijual cepat 1 unit ruko, harga murah  lokasi strategis pinggir utama, cocok untuk usaha, kantor atau investasi","Medan Area, Medan","Rp 1,25 Miliar Total",Ruko,,3,,64 m²,192 m²
"RUKO 3 1/2 TINGKAT, SIAP HUNI DI PANDAU HULU 1, MEDAN KOTA","Medan Kota, Medan",Rp 4 Miliar Total,Ruko,,5,,144 m²,432 m²
"RUMAH 3 TINGKAT DI MANDALA BY PASS, MEDAN TEMBUNG.","Medan Tembung, Medan",Rp 890 Juta,Rumah,5,3,,84 m²,264 m²
RUMAH TOSIRO INDAH MEDAN HELVETIA,"Medan Helvetia, Medan",Rp 1 Miliar,Rumah,4,1,,245 m²,205 m²
Dijual Cepat Rumah Semi Furnish Jl Selam III Harga Dibawah 1 M,"Medan Denai, Medan",Rp 950 Juta,Rumah,2,2,1,78 m²,124 m²
DIJUAL RUMAH SIAP HUNI & BISA DIJADIKAN KONTRAKAN DI MEDAN JOHOR - MEDAN,"Medan Johor, Medan","Rp 2,2 Miliar",Rumah,5,2,4,405 m²,250 m²
Ruko 3 Lantai Lokasi Strategis Di Sei Agul Medan,"Medan Barat, Medan","Rp 1,8 Miliar Total",Ruko,,,,64 m²,180 m²
DIJUAL RUMAH SIAP HUNI & BISA DIJADIKAN KONTRAKAN DI MEDAN JOHOR - MEDAN,"Medan Johor, Medan","Rp 2,2 Miliar",Rumah,5,2,1,405 m²,250 m²
"Rumah SHM Lokasi Strategis di Teladan Barat, Medan Kota","Medan Kota, Medan",Rp 9 Miliar,Rumah,6,4,,547 m²,350 m²
Rumah 2 Lantai Uk 6x23 Medan Johor Rumah,"Medan Johor, Medan",Rp 875 Juta,Rumah,3,2,1,138 m²,114 m²
"Komplek Perumahan Jewel Garden di Jl. Meteorologi Raya, Tembung, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara, Medan Tembung","Medan Tembung, Medan","Rp 2,3 Miliar",Rumah,3,3,1,112 m²,72 m²
"RUKO 2 1/2 TINGKAT SIAP HUNI DI DAERAH KRAKATAU, TEGAL REJO, MEDAN PERJUANGAN","Medan Perjuangan, Medan","Rp 1,05 Miliar Total",Ruko,,2,,52 m²,100 m²
"Ruko /Gudang jln irian barat desa sampali sei percut, deli serdang","Medan Deli, Medan","Rp 3,5 Miliar Total",Ruko,,4,,607 m²,400 m²
Ruko.Gandeng 4 tingkat daerah medan baru,"Medan Baru, Medan",Rp 7 Miliar Total,Ruko,,4,,120 m²,288 m²
Di Jual Ruko Jl Pws Medan,"Medan Kota, Medan",Rp 580 Juta Total,Ruko,,2,,74 m²,74 m²
Komplek Griya Town House,"Medan Helvetia, Medan",Rp 860 Juta,Rumah,2,3,,76 m²,70 m²
Rumah Komplek Semi Furnished Jl.Amal Medan Sunggal,"Medan Sunggal, Medan",Rp 2 Miliar,Rumah,4,4,,219 m²,250 m²
Rumah siap huni di daerah Sunggal,"Medan Sunggal, Medan",Rp 1 Miliar,Rumah,3,3,,96 m²,200 m²
Rumah 2 lantai dalam komplek Tasbih 1 Jl.Setiabudi Medan Sunggal,"Medan Selayang, Medan",Rp 3 Miliar,Rumah,5,3,,225 m²,330 m²
Dijual rumah 2 lantai di Jl.Brigjen Katamso Gg Subur,"Medan Maimun, Medan",Rp 950 Juta,Rumah,4,3,,234 m²,150 m²
Dijual Tanah dan Rumah di Komplek Pinang Baris Permai (Pinang Baris Indah),"Medan Sunggal, Medan","Rp 1,7 Miliar",Rumah,5,3,,303 m²,250 m²
Ruko Cocok Untuk Bisnis Jln Bulan Medan Kota,"Medan Kota, Medan","Rp 4,5 Miliar",Ruko,,4,,143 m²,324 m²
Ruko Exs Salon Dan Spa Dijln Zainul Arifin,"Medan Petisah, Medan",Rp 6 Miliar,Ruko,,6,,108 m²,416 m²
Rumah Komplek The Crown S.parman Medan Baru,"Medan Baru, Medan",Rp 9 Miliar,Rumah,5,5,1,184 m²,288 m²
"Kesempatan Terbatas Buat Anda Dapatkan Ruko Nyaman Dengan Return Investasi Tinggi Di Medan Perjuangan, Medan.","Medan Perjuangan, Medan",Rp 850 Juta Total,Ruko,,2,,80 m²,118 m²
"Kesempatan Terbatas Buat Anda Dapatkan Ruko Strategis Dengan Return Investasi Tinggi Di Medan Johor, Medan.ruko Ini Menawarkan Lokasi Yang Strategis","Medan Johor, Medan",Rp 475 Juta Total,Ruko,,1,,64 m²,192 m²
RUMAH JALAN MARELAN PASAR 1 GANG AWIE KAVLING BEACUKAI,"Medan Marelan, Medan",Rp 720 Juta,Rumah,3,2,,160 m²,120 m²
RUMAH JALAN KARYA JAYA GANG EKA BUDI II,"Medan Johor, Medan",Rp 360 Juta,Rumah,2,1,,98 m²,98 m²
Komplek Ismaliyah Business Centre,"Medan Area, Medan","Rp 1,4 Miliar",Rumah,4,4,1,56 m²,52 m²
Rumah Mewah Uk 11x20 Dalam Komplek Dekat Tritura Rumah,"Medan Amplas, Medan",Rp 14 Miliar,Rumah,6,4,2,220 m²,300 m²
Villa Lebar 8 Hadap Utara Komplek Cemara Asri,"Medan Timur, Medan","Rp 4,5 Miliar",Rumah,4,3,,156 m²,156 m²
"Rumah Murah 200 Jutaan Di Marelan di Marelan, Medan Marelan","Medan Marelan, Medan",Rp 295 Juta,Rumah,2,2,1,84 m²,45 m²
Di Jual Murah Villa Komplek Jewel Park Polonia,"Medan Polonia, Medan","Rp 3,8 Miliar",Rumah,4,5,,116 m²,80 m²
RUMAH JALAN GAPERTA UJUNG KOMPLEK GIVENCY ONE TYPE VALENTINO,"Medan Helvetia, Medan","Rp 1,3 Miliar",Rumah,,,,84 m²,105 m²
RUMAH JALAN DEWA RUCI,"Medan Petisah, Medan","Rp 2,2 Miliar",Rumah,3,4,,126 m²,210 m²
RUMAH JALAN TITI PAHLAWAN KOMPLEK GRIYA CLASSICAL PARK,"Medan Marelan, Medan",Rp 950 Juta,Rumah,3,3,,84 m²,135 m²
"Royal Park Residence, Villa Mewah & Eksklusif di Medan Selayang","Medan Selayang, Medan","Rp 1,07 Miliar",Rumah,3,3,1,96 m²,98 m²
Di Jual Murah Villa The Crow Perumahan Exclusive,"Medan Petisah, Medan",Rp 10 Miliar,Rumah,5,5,,184 m²,128 m²
Dijual Ruko Produktif Tower BTS di Medan Sunggal,"Medan Sunggal, Medan","Rp 1,6 Miliar Total",Ruko,,4,,60 m²,200 m²
Ruko Usaha Strategis & Siap Huni di Pinggir Jalan Aksara Kota Medan,"Medan Perjuangan, Medan","Rp 1,7 Miliar Total",Ruko,,3,,148 m²,200 m²
Dijual Rumah Daerah Sekip Jalan Tualang Medan Petisah,"Medan Petisah, Medan",Rp 1 Miliar,Rumah,2,2,1,66 m²,64 m²
"Rumah 2 Lantai Dekat Tritura Medan Amplas di Jl. Bajak 2-H, Harjosari II, Kec. Medan Amplas, Kota Medan, Sumatera Utara, Medan Amplas","Medan Amplas, Medan",Rp 825 Juta,Rumah,3,2,1,66 m²,90 m²
Dijual Ruko Siap Huni Daerah Mandala Jalan Pukat Banting 4,"Medan Tembung, Medan",Rp 980 Juta Total,Ruko,,3,,80 m²,168 m²
Dijual Rumah Jalan Cempaka Daerah Multatuli Siap Huni,"Medan Maimun, Medan","Rp 2,5 Miliar",Rumah,5,3,1,125 m²,125 m²
Dijual Rumah Di Jl Jermal IV Harga Hemat Dikantong,"Medan Denai, Medan",Rp 650 Juta,Rumah,2,2,1,72 m²,72 m²
DIJUAL VILLA JALAN HARMONIKA BARU KOMPLEK AMBASADOR,"Medan Selayang, Medan",Rp 800 Juta,Rumah,3,2,,105 m²,175 m²
Dijual Townhouse Komplek Krakatau Platinim Point Jalan Krakatau,"Medan Timur, Medan","Rp 2,2 Miliar",Rumah,3,3,1,72 m²,48 m²
Dijual Rumah Komplek Rahayu Residence Jalan Pukat Banting 1,"Medan Tembung, Medan",Rp 760 Juta,Rumah,2,2,1,64 m²,64 m²
RUMAH SIAP HUNI SUDAH SHM DI MEDAN SELAYANG SETIABUDI,"Medan Kota, Medan","Rp 1,3 Miliar",Rumah,4,3,1,87 m²,60 m²
Di Jual Murah Rumah Komplek Taman Elite Rajawali,"Medan Sunggal, Medan",Rp 1 Miliar,Rumah,4,4,,96 m²,72 m²
Rumah 2 Lt daerah padang bulan Medan,"Medan Selayang, Medan",Rp 650 Juta,Rumah,2,2,,65 m²,100 m²
Rumah Risva Indah Grandland Jl.Eka warni Johor,"Medan Johor, Medan",Rp 425 Juta,Rumah,2,1,,48 m²,75 m²
Rumah daerah Helvetia Jl.Matahari 4 no 220 blok 6,"Medan Helvetia, Medan",Rp 400 Juta,Rumah,4,3,,139 m²,100 m²
Rumah Komplek Givency One Jalan Gaperta Ujung Area Helvetia,"Medan Helvetia, Medan",Rp 800 Juta,Rumah,2,1,1,90 m²,78 m²
Rumah Komplek Graha Gaperta Mas Jalan Gaperta Ujung Area Helvetia,"Medan Helvetia, Medan",Rp 670 Juta,Rumah,3,2,1,104 m²,80 m²
Rumah Baru Komplek Permata Krakatau Jalan Sidorukun Area Krakatau,"Medan Timur, Medan",Rp 738 Juta,Rumah,3,2,,50 m²,105 m²
Rumah Baru Komplek Foresta Jalan Damar Raya Area Krakatau,"Medan Timur, Medan",Rp 795 Juta,Rumah,2,2,,75 m²,105 m²
Ruko Baru Komplek Banyan Tree Jalan Sidomulyo Area Krakatau,"Medan Timur, Medan",Rp 895 Juta Total,Ruko,,3,,72 m²,126 m²
Rumah Baru Komplek Banyan Tree Jalan Sidomulyo Area Krakatau,"Medan Timur, Medan",Rp 775 Juta,Rumah,2,2,,55 m²,105 m²
Dijual Rumah Tua SHM Di Jl Utama Inti Kota,"Medan Area, Medan",Rp 2 Miliar,Rumah,2,2,,457 m²,457 m²
Rumah Komplek Pasar 3 Nyaman Dan Bagus,"Medan Timur, Medan",Rp 850 Juta,Rumah,,,,78 m²,78 m²
Perumahan Amal Village daerah Amplas,"Medan Amplas, Medan",Rp 750 Juta,Rumah,3,2,,80 m²,90 m²
Cluster abdul hakim daerah Setiabudi Medan,"Medan Selayang, Medan",Rp 478 Juta,Rumah,2,2,,75 m²,48 m²
Rumah 2 Lantai Di Pasar VII Padang Bulan Medan Selayang,"Medan Selayang, Medan","Rp 1,49 Miliar",Rumah,4,3,,140 m²,192 m²
Rumah 2 Lantai Di Pasar VII Padang Bulan Medan Selayang,"Medan Selayang, Medan","Rp 1,49 Miliar",Rumah,4,3,1,140 m²,192 m²
Rumah murah daerah Setiabudi Medan,"Medan Selayang, Medan",Rp 395 Juta,Rumah,2,1,,90 m²,48 m²
Jual Rumah Daerah Kampung Baru Katamso Di Gg Pribadi,"Medan Kota, Medan",Rp 650 Juta,Rumah,3,2,,60 m²,96 m²
"Rumah Scandanavian Ukuran 6x20 Medan Marelan di jln pasar 3 barat, Medan Marelan","Medan Marelan, Medan",Rp 570 Juta,Rumah,2,1,1,120 m²,55 m²
New Makro Permai daerah Gatsu Medan,"Medan Petisah, Medan",Rp 655 Juta,Rumah,3,1,,78 m²,69 m²
Jual Murah Komplek Katamso Vista Enak Dan Nyaman,"Medan Kota, Medan",Rp 750 Juta,Rumah,,2,,68 m²,125 m²
Rumah Cantik Jl.Flamboyan,"Medan Selayang, Medan",Rp 600 Juta,Rumah,3,2,,166 m²,160 m²
"Rumah siap huni, Jl.Karya Jaya - Medan Johor","Medan Johor, Medan",Rp 285 Juta,Rumah,2,1,,104 m²,45 m²
Villa Komplek Cemara Asri Tahap 2,"Medan Deli, Medan","Rp 8,8 Miliar",Rumah,4,5,1,300 m²,240 m²
Dijual Rumah Cakep Komplek Habitat Daerah Sunggal,"Medan Sunggal, Medan","Rp 1,3 Miliar",Rumah,3,3,1,96 m²,120 m²
Jual Apartment Podomoro Lantai 15 Hadap Timur Full Furnish Termurah,"Medan Kota, Medan","Rp 2,5 Miliar",Apartemen,3,2,,,92 m²
Ruko Komplek Tuasan Point Jalan Tuasan Daerah Bilal,"Medan Tembung, Medan",Rp 788 Juta Total,Ruko,,1,,48 m²,108 m²
"Ruko 2,5 Tingkat Jalan Tuasan Komplek Tuasan Point Daerah Tembung","Medan Tembung, Medan",Rp 788 Juta Total,Ruko,,1,,48 m²,108 m²
Ruko Baru Jalan Tuasan Komplek Tuasan Point Sekitar Rakyat,"Medan Tembung, Medan",Rp 788 Juta Total,Ruko,,1,,48 m²,108 m²
Dijual Rumah SHM Jl Pipit Harga Sangat Terjangkau,"Medan Perjuangan, Medan",Rp 700 Juta,Rumah,3,2,,252 m²,252 m²
RUMAH LUAS di JALAN PELITA 6 / RAKYAT,"Medan Perjuangan, Medan","Rp 1,8 Miliar",Rumah,6,3,,371 m²,300 m²
BARU RENOVASI TOTAL !! RUMAH MODERN DI PUSAT KOTA MEDAN SUMATERA UTARA,"Medan Petisah, Medan","Rp 2,98 Miliar",Rumah,4,5,,175 m²,450 m²
DIJUAL RUMAH JALAN AL-FALAH 1,"Medan Timur, Medan","Rp 1,1 Miliar",Rumah,3,3,,189 m²,119 m²
Dijual Tanah + Bangunan Harga Dibawah 1M Di Jl Lubuk Kuda,"Medan Perjuangan, Medan",Rp 850 Juta,Rumah,4,2,,338 m²,112 m²
Ruko 2 Lantai Simalingkar Medan Nego Sampai Deal,"Medan Tuntungan, Medan",Rp 300 Juta Total,Ruko,,1,,74 m²,104 m²
Rumah Jalan Pasar 3 Tapian Nauli Komplek Habitat Daerah Sunggal,"Medan Sunggal, Medan","Rp 1,3 Miliar",Rumah,3,3,1,96 m²,120 m²
"Ruko Baru Lux, Lebar 5 Mtr, Jl. Sentosa Lama","Medan Perjuangan, Medan","Rp 1,25 Miliar Total",Ruko,,4,,80 m²,300 m²
Dijual rumah tasbi 1,"Medan Selayang, Medan",Rp 4 Miliar,Rumah,5,4,,384 m²,500 m²
"Rumah Scandanavian Lebar 7meter Simpang Selayang di Jl. Stella Raya, Simpang Selayang, Kec. Medan Tuntungan, Kota Medan, Sumatera Utara, Medan Tuntungan","Medan Tuntungan, Medan",Rp 570 Juta,Rumah,2,1,1,105 m²,55 m²
"Jual Ruko Jalan Singa , Lokasi Dekat Pajak Beruang Simpang Sumatera","Medan Kota, Medan","Rp 1,8 Miliar Total",Ruko,,3,,157 m²,100 m²
Rumah Komplek Mados Royal Suite Jalan Madio Santoso Area Krakatau,"Medan Timur, Medan",Rp 850 Juta,Rumah,2,2,,48 m²,48 m²
Rumah Komplek Krakatau Garden Jalan Setia Jadi Area Krakatau,"Medan Perjuangan, Medan",Rp 875 Juta,Rumah,3,3,,60 m²,52 m²
Rumah Komplek Krakatau Garden Jalan Setia Jadi Area Krakatau,"Medan Perjuangan, Medan",Rp 675 Juta,Rumah,4,2,,60 m²,52 m²
Rumah Siap Huni Tasbih 2,"Medan Selayang, Medan","Rp 2,2 Miliar",Rumah,4,5,1,180 m²,350 m²
Ruko Cbd Kosong,"Medan Kota, Medan","Rp 1,5 Miliar Total",Ruko,,,,64 m²,192 m²
"Ruko Ruko Green Seville Bagus","Medan Timur, Medan","Rp 1,35 Miliar Total",Ruko,,,,52 m²,156 m²
Dijual Townhouse Di Komplek Nautilius Harga Sangat Terjangkau,"Medan Area, Medan",Rp 650 Juta,Rumah,,,,48 m²,100 m²
KOMPLEK PERUMAHAN YUU At Contempo,"Medan Johor, Medan",Rp 983 Juta,Rumah,3,3,,66 m²,90 m²
Ruko Gereja Rejeki,"Medan Barat, Medan",Rp 1 Miliar Total,Ruko,,,,88 m²,220 m²
"Sewa /jualruko Centrium Katamso","Medan Maimun, Medan",Rp 3 Miliar Total,Ruko,,,,60 m²,210 m²
Ruko Kl Yos Sudarso Bisnis,"Medan Barat, Medan","Rp 1,8 Miliar Total",Ruko,,,,60 m²,180 m²
Ruko Tilak Siap Huni,"Medan Area, Medan","Rp 1,5 Miliar Total",Ruko,,,,95 m²,334 m²
Ruko Seikera Hokky,"Medan Perjuangan, Medan","Rp 2,2 Miliar Total",Ruko,,,,68 m²,238 m²
Ruko Merbau Tepi Jalan Bagus,"Medan Barat, Medan","Rp 2,2 Miliar Total",Ruko,,,,112 m²,264 m²
Ruko Thamrin Baru Bagus,"Medan Perjuangan, Medan","Rp 1,55 Miliar Total",Ruko,,3,,84 m²,252 m²
Dijual Ruko Gandeng Jalan Karya Wisata Komplek J City Medan Johor,"Medan Johor, Medan","Rp 4,3 Miliar Total",Ruko,,3,,128 m²,384 m²
Ruko Setia Jadi Town House Kosong,"Medan Timur, Medan","Rp 1,4 Miliar Total",Ruko,,,,52 m²,182 m²
"Villa Mewah Cemara Park Palace, Kec. Medan Deli, Booking Now!","Medan Deli, Medan","Rp 1,93 Miliar",Rumah,3,3,2,96 m²,120 m²
"Dijual rumah tinggal hub: 082274125xxx, komplek tasbi I Blok HH No. 22. Kel Tanjung Rejo, Ke. Medan Sunggal.Kota Medan Prop. Sumatera Utara","Brastagi, Medan",Rp 652 Juta,Rumah,3,2,1,157 m²,100 m²
Dijual Ruko Gandeng J City Daerah Johor Jalan Karya Wisata,"Medan Johor, Medan","Rp 4,3 Miliar Total",Ruko,,3,,128 m²,384 m²
Dijual Ruko Gandeng J City Jalan Karya Wisata Daerah Johor,"Medan Johor, Medan","Rp 4,3 Miliar Total",Ruko,,3,,128 m²,384 m²
Ruko Tenda Merah Ar Hakim - Medan,"Medan Denai, Medan","Rp 2,3 Juta Total",Ruko,,3,,100 m²,173 m²
Dijual Ruko Daerah Adam Malik Cakep Poll,"Medan Kota, Medan","Rp 1,35 Miliar Total",Ruko,,3,,80 m²,120 m²
Dijual Villa De Castillo Residence,"Medan Kota, Medan",Rp 850 Juta,Rumah,2,2,,44 m²,110 m²
"Kini Hadir Villa Perbatasan Palace Tahap 2, Kec. Medan Timur","Medan Timur, Medan",Rp 618 Juta,Rumah,,,,42 m²,90 m²
Jual Cepat Harga Termurah Ruko Komp.katamso Dalam,"Medan Maimun, Medan",Rp 1 Miliar Total,Ruko,,3,,64 m²,64 m²
Dijual Ruko Gandeng Jalan Syailendra,"Medan Kota, Medan","Rp 4,75 Miliar Total",Ruko,,3,,186 m²,420 m²
RUKO JALAN SURABAYA,"Medan Kota, Medan",Rp 5 Miliar Total,Ruko,,6,,76 m²,374 m²
Dijual Ruko di Jalan Prof. H. M. Yamin (Dekat Jl. Madong Lubis),"Medan Perjuangan, Medan","Rp 2,3 Miliar Total",Ruko,,3,,92 m²,72 m²
Dijual Cepat Rumah Di Komp Myfair Residence Medan,"Medan Tuntungan, Medan",Rp 700 Juta,Rumah,,,,75 m²,54 m²
RUMAH JALAN GARU VI,"Medan Amplas, Medan","Rp 1,7 Miliar",Rumah,5,2,,422 m²,150 m²
Dijual Rumah Murah Jalan Rajawali Komplek Taman Elite Rajawali,"Medan Sunggal, Medan",Rp 930 Juta,Rumah,4,4,1,96 m²,72 m²
Dijual Murah Rumah Daerah Sunggal Komplek Taman Elite Rajawali,"Medan Sunggal, Medan",Rp 930 Juta,Rumah,4,4,1,96 m²,72 m²
Dijual Rumah Sunggal Jalan Rajawali Komplek Taman Elite Rajawali,"Medan Sunggal, Medan",Rp 930 Juta,Rumah,4,4,1,96 m²,72 m²
Dijual/Disewakan Apartemen Lux Grand Jati Junction Tower Eaglewood,"Medan Timur, Medan","Rp 2,8 Miliar",Apartemen,3,3,,,140 m²
Ruko Murah Kawasan Chinese Dekat Manhattan,"Medan Sunggal, Medan",Rp 600 Juta Total,Ruko,,3,,68 m²,140 m²
Lihat Foto dan Kamu Akan Langsung Tau Kenapa Memilih Rumah Ini,"Medan Barat, Medan","Rp 1,25 Miliar",Rumah,3,3,,52 m²,152 m²
Rumah Luas dan Strategis Dekat Universitas Cocok Untuk Kost,"Medan Timur, Medan",Rp 2 Miliar,Rumah,3,3,1,199 m²,298 m²
