iter	Passed	Remaining
593	27305	18663
594	27339	18609
595	27372	18554
596	27405	18499
597	27438	18444
598	27508	18415
599	27574	18383
600	27610	18330
601	27648	18279
602	27679	18223
603	27713	18169
604	27742	18112
605	27775	18058
606	27808	18004
607	27842	17950
608	27878	17898
609	27915	17847
610	27945	17791
611	27975	17736
612	28006	17680
613	28039	17627
614	28074	17575
615	28106	17521
616	28139	17467
617	28170	17412
618	28208	17362
619	28246	17312
620	28284	17261
621	28320	17210
622	28352	17157
623	28384	17103
624	28418	17051
625	28454	16999
626	28486	16946
627	28518	16892
628	28549	16839
629	28580	16785
630	28613	16732
631	28648	16681
632	28687	16632
633	28726	16583
634	28761	16532
635	28794	16479
636	28825	16426
637	28858	16374
638	28919	16338
639	28984	16303
640	29049	16269
641	29100	16227
642	29149	16184
643	29201	16142
644	29247	16097
645	29294	16053
646	29337	16006
647	29380	15959
648	29433	15918
649	29484	15876
650	29539	15836
651	29595	15796
652	29647	15754
653	29699	15712
654	29756	15673
655	29816	15635
656	29869	15593
657	29910	15546
658	29970	15508
659	30014	15461
660	30055	15414
661	30127	15382
662	30242	15372
663	30306	15335
664	30349	15288
665	30393	15242
666	30433	15193
667	30471	15144
668	30514	15097
669	30555	15049
670	30595	15001
671	30636	14953
672	30725	14929
673	30778	14886
674	30828	14843
675	30881	14801
676	30943	14763
677	30994	14720
678	31051	14679
679	31094	14632
680	31141	14587
681	31207	14551
682	31251	14504
683	31293	14457
684	31331	14407
685	31370	14358
686	31410	14310
687	31453	14263
688	31493	14215
689	31535	14167
690	31573	14118
691	31614	14071
692	31658	14024
693	31704	13979
694	31751	13934
695	31792	13886
696	31840	13841
697	31882	13794
698	31920	13745
699	31957	13696
700	32004	13650
701	32051	13605
702	32092	13558
703	32141	13513
704	32183	13466
705	32220	13417
706	32270	13373
707	32315	13327
708	32354	13279
709	32399	13233
710	32451	13190
711	32500	13146
712	32535	13096
713	32587	13053
714	32634	13008
715	32687	12965
716	32736	12921
717	32778	12874
718	32821	12827
719	32866	12781
720	32911	12735
721	32953	12688
722	33005	12645
723	33049	12599
724	33101	12555
725	33147	12510
726	33190	12463
727	33232	12416
728	33278	12370
729	33326	12326
730	33376	12282
731	33428	12238
732	33468	12191
733	33504	12142
734	33550	12096
735	33595	12050
736	33643	12005
737	33683	11958
738	33726	11911
739	33767	11864
740	33802	11814
741	33846	11768
742	33893	11723
743	33932	11675
744	33971	11627
745	34006	11578
746	34046	11531
747	34085	11483
748	34122	11434
749	34167	11389
750	34218	11345
751	34268	11301
752	34319	11257
753	34355	11208
754	34404	11164
755	34450	11119
756	34504	11076
757	34547	11029
758	34593	10984
759	34633	10936
760	34670	10888
761	34716	10843
762	34759	10796
763	34805	10751
764	34848	10705
765	34891	10658
766	34992	10629
767	35034	10583
768	35072	10535
769	35110	10487
770	35146	10439
771	35187	10392
772	35222	10343
773	35263	10296
774	35311	10251
775	35356	10205
776	35396	10158
777	35437	10111
778	35479	10065
779	35517	10017
780	35561	9971
781	35607	9926
782	35648	9879
783	35688	9832
784	35724	9784
785	35757	9735
786	35791	9686
787	35828	9639
788	35867	9591
789	35909	9545
790	35948	9498
791	35985	9450
792	36021	9402
793	36064	9356
794	36137	9318
795	36269	9295
796	36314	9249
797	36356	9203
798	36399	9156
799	36438	9109
800	36475	9062
801	36517	9015
802	36557	8968
803	36596	8921
804	36639	8875
805	36679	8828
806	36715	8780
807	36754	8733
808	36789	8685
809	36820	8636
810	36852	8588
811	36896	8542
812	36941	8497
